No Kuesioner,Nama Kuesioner,Dusun / Kampung,Kelurahan,Kecamatan,Kota,DAPIL,Provinsi,P1,P2,P3,P4,P5,P6,P7,P8,P9,Pilihan Presiden
466,Kuesioner 466,mampang,mampang,Pancoran Mas,Kota Depok,JAWA BARAT VI,Jawa Barat,4,17,8,1,14,10,7,2,2,1
467,Kuesioner 467,mampang sawo,mampang,Pancoran Mas,Kota Depok,JAWA BARAT VI,Jawa Barat,7,bangunan,8,1,14,10,7,Joko widodo dan maaruf amin,DEMOKRAT,1
468,Kuesioner 468,mampang sawo,mampang,Pancoran Mas,Kota Depok,JAWA BARAT VI,Jawa Barat,2,17,8,1,14,6,7,jokowi,Demokrat,1
469,Kuesioner 469,mampang,mampang,Pancoran Mas,Kota Depok,JAWA BARAT VI,Jawa Barat,7,14,8,1,14,6,7,2,2,2
470,Kuesioner 470,mampang,mampang,Pancoran Mas,Kota Depok,JAWA BARAT VI,Jawa Barat,4,4,8,1,9,6,7,2,2,2
471,Kuesioner 471,mekar sari timur,mekarsari,Tambun Selatan,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,1,1,4,1,8,16,3,2,2,2
472,Kuesioner 472,mekasari timur,mekarsari,Tambun Selatan,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,1,3,4,1,8,16,5,,2,2
473,Kuesioner 473,mekarsari,mekarsari,Tambun Selatan,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,3,6,3,1,9,10,5,PRABOWO DAN SANDIAGA,GERINDRA,2
474,Kuesioner 474,mekarsari,mekarsari,Tambun Selatan,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,2,3,3,1,8,16,5,2,2,2
475,Kuesioner 475,bulak kendar,mekarsari,Tambun Selatan,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,4,1,4,1,8,6,4,2,2,2
476,Kuesioner 476,kp.bulak,mekarsari,Tambun Selatan,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,2,3,4,1,8,16,4,2,2,1
477,Kuesioner 477,mekarsari,mekarsari,Tambun Selatan,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,3,1,4,1,8,10,5,2,2,1
478,Kuesioner 478,mekarsari,mekarsari,Tambun Selatan,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,3,6,4,1,8,6,5,2,2,1
479,Kuesioner 479,mekarsari,mekarsari,Tambun Selatan,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,4,1,4,1,8,6,5,2,2,2
480,Kuesioner 480,mekarsari,mekarsari,Tambun Selatan,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,4,8,5,1,8,6,4,2,2,2
481,Kuesioner 481,pisangan,satria mekar,Tambun Utara,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,3,15,4,1,13,6,4,2,2,1
482,Kuesioner 482,pisangan,satria mekar,Tambun Utara,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,4,3,1,1,14,6,2,2,2,2
483,Kuesioner 483,pisangan,satria mekar,Tambun Utara,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,6,11,8,1,14,6,5,PRABOWO SANDIAGA,2,2
484,Kuesioner 484,pisangan,satria mekar,Tambun Utara,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,4,3,4,1,14,6,4,"jokowi,maruf",pdi,1
485,Kuesioner 485,pisangan,satria mekar,Tambun Utara,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,4,15,5,1,13,6,3,2,2,1
486,Kuesioner 486,pisangan,satriamekar,Tambun Utara,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,3,6,5,1,8,6,2,PRABOWO SANDI,2,2
487,Kuesioner 487,pisangan,satria mekar,Tambun Utara,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,3,15,4,1,13,6,3,2,2,1
488,Kuesioner 488,pisangan,satria mekar,Tambun Utara,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,3,3,4,1,13,6,4,2,2,2
489,Kuesioner 489,pisangan,satria mekar,Tambun Utara,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,3,1,4,1,14,6,6,2,2,2
490,Kuesioner 490,pisangan,satria mekar,Tambun Utara,Kab. Bekasi,JAWA BARAT VII,Jawa Barat,4,14,8,1,13,6,1,2,2,2
491,Kuesioner 491,cengkong,sukasari,Purwasari,Kab. Karawang,JAWA BARAT VII,Jawa Barat,2,1,3,1,9,16,5,2,GOLKAR,2
492,Kuesioner 492,kampung babakan dukuh,sukasari,Purwasari,Kab. Karawang,JAWA BARAT VII,Jawa Barat,4,14,8,1,ikram,16,1,PRABOWO dan SANDIAGA UNO,GERINDRA,2
493,Kuesioner 493,kp. cengkong,sukasari,Purwasari,Kab. Karawang,JAWA BARAT VII,Jawa Barat,3,4,8,1,9,16,1,JOKOWI DODO dan MA'RUF AMIN,GERINDRA,1
494,Kuesioner 494,CENGKONG,SUKASARI,Purwasari,Kab. Karawang,JAWA BARAT VII,Jawa Barat,2,8,5,1,9,16,3,JOKOWI DODO DAN MA'RUF AMIN,PDIP,1
495,Kuesioner 495,DUSUN DUKUH,SUKASARI,Purwasari,Kab. Karawang,JAWA BARAT VII,Jawa Barat,4,8,6,1,14,16,5,2,2,1
496,Kuesioner 496,kp cengkong,SUKASARI,Purwasari,Kab. Karawang,JAWA BARAT VII,Jawa Barat,2,3,4,1,14,16,5,JOKOWI DAN MARUF AMIN,2,2
497,Kuesioner 497,kp. cengkong,sukasari,Purwasari,Kab. Karawang,JAWA BARAT VII,Jawa Barat,4,8,5,1,14,16,1,2,GOLKAR,1
498,Kuesioner 498,kp cengkong,SUKASARI,Purwasari,Kab. Karawang,JAWA BARAT VII,Jawa Barat,2,3,4,1,14,16,3,JOKOWI DAN MARUF AMIN,PDIP,1
499,Kuesioner 499,kp. cengkong,SUKASARI,Purwasari,Kab. Karawang,JAWA BARAT VII,Jawa Barat,2,1,4,1,9,16,3,IR JOKO WIDODO DAN MARUF AMIN,PDIP,1
500,Kuesioner 500,kp cengkong,SUKASARI,Purwasari,Kab. Karawang,JAWA BARAT VII,Jawa Barat,2,3,3,1,14,16,4,2,2,1
501,Kuesioner 501,pondok bungur,pondok bungur,Pondoksalam,Kab. Purwakarta,JAWA BARAT VII,Jawa Barat,4,8,4,1,9,16,1,prabowo sandiaga uno,pks,2
502,Kuesioner 502,pondok bungur,pondok bungur,Pondoksalam,Kab. Purwakarta,JAWA BARAT VII,Jawa Barat,2,3,8,1,13,16,2,prabowo sandiaga,pdi,2
503,Kuesioner 503,pondok salam,pondok bungur,Pondoksalam,Kab. Purwakarta,JAWA BARAT VII,Jawa Barat,2,1,4,1,13,16,3,PRBOBOWO DAN SANDIAGA UNO,PKS,2
504,Kuesioner 504,pondok bungur,pondok bungur,Pondoksalam,Kab. Purwakarta,JAWA BARAT VII,Jawa Barat,1,12,1,1,13,16,5,PRABOWO SANDIAGA UNO,2,2
505,Kuesioner 505,pondok bungur,pondok bungur,Pondoksalam,Kab. Purwakarta,JAWA BARAT VII,Jawa Barat,4,8,4,1,13,16,2,PRABOWO SANDIAGA UNO,golkar,2
506,Kuesioner 506,pondok bungur,pondok bungur,Pondoksalam,Kab. Purwakarta,JAWA BARAT VII,Jawa Barat,6,8,5,1,13,16,1,prabowo sandiaga,2,2
507,Kuesioner 507,pondok bungur,pondok bungur,Pondoksalam,Kab. Purwakarta,JAWA BARAT VII,Jawa Barat,1,12,6,1,13,16,6,prabowo sandiaga uno,gerindra,2
508,Kuesioner 508,pondok bungur,pondok bungur,Pondoksalam,Kab. Purwakarta,JAWA BARAT VII,Jawa Barat,3,8,4,1,13,16,1,prabowo sandiaga,2,2
509,Kuesioner 509,pondok bungur,pondok bungur,Pondoksalam,Kab. Purwakarta,JAWA BARAT VII,Jawa Barat,7,6,5,1,13,16,2,jokowi maruf,ppp,1
510,Kuesioner 510,pondok bungur,pondok bungur,Pondoksalam,Kab. Purwakarta,JAWA BARAT VII,Jawa Barat,1,3,8,1,13,16,4,2,2,2
511,Kuesioner 511,dusun02,japurabakti,Astanajapura,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,1,1,5,1,13,8,3,JOKO WIDODO dan MA'ARUF AMIN,2,1
512,Kuesioner 512,dusun 2,japurabakti,Astanajapura,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,1,3,3,1,14,8,3,JOKOWIDODO dan MA'ARUF AMIN,PARTAI KEBANGKITAN BANGSA,1
513,Kuesioner 513,dusun 2,japurabakti,Astanajapura,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,2,1,3,1,9,8,5,PRABOWO SUBIANTO dan SANDIAGA SALAHADDIN UNO,PARTAI DEMOKRAT,2
514,Kuesioner 514,dusun 2,japurabakti,Astanajapura,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,3,6,3,1,9,8,4,JOKOWIDODO dan MA'ARUF AMIN,Partai kebangkitan bangsa (PKB),1
515,Kuesioner 515,karangturi,japurabakti,Astanajapura,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,1,6,5,1,14,8,5,JOKOWIDODO dan MA'ARUF AMIN,PKB,1
516,Kuesioner 516,karaturiwetan,japurabakti,Astanajapura,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,1,14,1,1,13,8,5,JOKO WIDODO  dan MA'ARUF AMIN,PDI PERJUANGAN,1
517,Kuesioner 517,dusun 03,japurabakti,Astanajapura,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,2,6,5,1,14,8,2,jokowidodo dan ma'aruf,pdi perjuangan,1
518,Kuesioner 518,dusun 03,japurabakti,Astanajapura,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,6,2,3,1,13,8,3,JOKO WIDODO dan MA'ARUF AMIN,PKB,1
519,Kuesioner 519,dusun 4,japurabakti,Astanajapura,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,2,6,5,1,14,8,1,2,2,1
520,Kuesioner 520,dusun 4,japurabakti,Astanajapura,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,1,3,8,1,14,8,4,JOKOWIDODO dan MA'ARUF AMIN,perindo,1
521,Kuesioner 521,Dusun Satu,Grogol,Kapetakan,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,1,12,8,1,14,10,5,2,2,1
522,Kuesioner 522,Dusun Satu,Grogol,Kapetakan,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,2,15,8,1,9,10,3,JOKO WIDODO DAN MA'RUF AMIN,2,1
523,Kuesioner 523,Dusun Satu,Grogol,Kapetakan,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,2,6,8,1,13,10,4,PRABOWO SUBIANTO DAN SANDIAGA SALAHUDDIN UNO,GERINDRA,2
524,Kuesioner 524,Dusun Satu,Grogol,Kapetakan,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,1,15,8,1,9,10,4,JOKO WIDODO DAN MA'RUF AMIN,2,1
525,Kuesioner 525,Dusun Dua,Grogol,Kapetakan,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,2,1,8,1,14,10,5,PRABOWO SUBIANTO DAN SANDIAGA SALAHUDDIN UNO,DEMOKRAT,1
526,Kuesioner 526,Dusun Dua,Grogol,Kapetakan,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,2,3,8,1,13,10,4,JOKO WIDODO DAN MA'RUF AMIN,2,1
527,Kuesioner 527,Dusun Dua,Grogol,Kapetakan,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,2,15,8,1,14,10,5,JOKO WIDODO DAN MA'RUF AMIN,2,1
528,Kuesioner 528,Dusun Empat,Grogol,Kapetakan,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,4,3,8,1,13,10,2,Joko Widodo dan Ma'ruf Amin,2,1
529,Kuesioner 529,Dusun Tiga,Grogol,Kapetakan,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,2,1,8,1,13,10,5,2,2,2
530,Kuesioner 530,Dusun Tiga,Grogol,Kapetakan,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,2,3,8,1,9,10,3,2,2,2
531,Kuesioner 531,BLOK KEBUYUTAN WETAN,ASTAPADA,Tengah Tani,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,2,14,4,1,9,8,2,PRABOWO DAN SANDIAGA,2,2
532,Kuesioner 532,BLOK NAMBO KIDUL,ASTAPADA,Tengah Tani,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,2,3,5,1,8,8,2,"Joko widodo

",PDIP,1
533,Kuesioner 533,BLOK KEBUYUTAN WETAN,ASTAPADA,Tengah Tani,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,3,8,4,1,9,8,2,JOKOWI DAN MA'RUF AMIN,2,1
534,Kuesioner 534,BLOK KEBUYUTAN WETAN,ASTAPADA,Tengah Tani,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,2,14,2,1,9,8,1,JOKOWI DAN MA'RUF AMIN,2,1
535,Kuesioner 535,BLOK NAMBO KULON,ASTADA,Tengah Tani,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,3,8,4,1,8,8,1,JOKOWI DAN MA'RUF AMIN,HANURA,1
536,Kuesioner 536,BLOK KEBUYUTAN WETAN,ASTAPADA,Tengah Tani,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,4,8,4,1,9,8,1,2,PERINDO,1
537,Kuesioner 537,BLOK KEBUYUTAN WETAN,ASTAPADA,Tengah Tani,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,1,14,1,1,9,8,5,2,2,1
538,Kuesioner 538,BLOK KEBUYUTAN WETAN,ASTAPADA,Tengah Tani,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,3,4,4,1,9,8,1,JOKOWI DAN MA'RUF AMIN,2,1
539,Kuesioner 539,BLOK BANGUNAN,ASTAPADA,Tengah Tani,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,2,1,2,1,9,8,5,PRABOWO DAN SANDI,2,2
540,Kuesioner 540,BLOK KEBUYUTQN KIDUL,ASTAPADA,Tengah Tani,Kab. Cirebon,JAWA BARAT VIII,Jawa Barat,4,3,5,1,9,8,2,2,2,1
541,Kuesioner 541,juntikedokan,juntikedokn,Juntinyuat,Kab. Indramayu,JAWA BARAT VIII,Jawa Barat,2,5,8,1,9,10,4,JOKO WIDODO DAN MA'RUF AMIN,PDIP,1
542,Kuesioner 542,Juntikedokan,Juntikedokan,Juntinyuat,Kab. Indramayu,JAWA BARAT VIII,Jawa Barat,2,12,3,1,9,10,6,JOKO WIDODO DAN MA'RUF AMIN,2,1
543,Kuesioner 543,Juntikedokam,Juntikedokan,Juntinyuat,Kab. Indramayu,JAWA BARAT VIII,Jawa Barat,1,15,8,1,13,10,4,JOKO WIDODO DAN MA'RUF AMIN,2,1
544,Kuesioner 544,Blok Krasak,Juntikedokan,Juntinyuat,Kab. Indramayu,JAWA BARAT VIII,Jawa Barat,2,15,3,1,9,10,3,JOKO WIDODO DAN MA'RUF AMIN,2,1
545,Kuesioner 545,Juntikedokan,Juntikedokan,Juntinyuat,Kab. Indramayu,JAWA BARAT VIII,Jawa Barat,1,6,8,1,13,10,5,JOKO WIDODO DAN MA'RUF AMIN,2,1
546,Kuesioner 546,Blok ketileng,Juntikedokan,Juntinyuat,Kab. Indramayu,JAWA BARAT VIII,Jawa Barat,2,1,8,1,9,10,4,JOKO WIDODO DAN MA'RUF AMIN,2,1
547,Kuesioner 547,Juntikedokan,Juntikedokan,Juntinyuat,Kab. Indramayu,JAWA BARAT VIII,Jawa Barat,4,15,8,1,9,10,2,2,2,3
548,Kuesioner 548,Juntikedokan,Juntikedokan,Juntinyuat,Kab. Indramayu,JAWA BARAT VIII,Jawa Barat,2,3,8,1,13,10,3,2,2,1
549,Kuesioner 549,Juntikedokan,Juntikedokan,Juntinyuat,Kab. Indramayu,JAWA BARAT VIII,Jawa Barat,1,15,2,1,13,10,3,2,2,3
550,Kuesioner 550,JatiMulya,Juntikedokan,Juntinyuat,Kab. Indramayu,JAWA BARAT VIII,Jawa Barat,1,12,8,1,13,10,4,2,2,1
551,Kuesioner 551,CITANDO,GIRIMULYA,Banjaran,Kab. Majalengka,JAWA BARAT IX,Jawa Barat,6,14,8,1,9,16,2,PRABOWO SUBIANTO DAN SANDIAGA SALAHUDDIN UNO,DEMOKRAT,2
552,Kuesioner 552,citando,girimulya,Banjaran,Kab. Majalengka,JAWA BARAT IX,Jawa Barat,2,12,4,1,9,16,5,2,2,3
553,Kuesioner 553,BANTRANGSANA,GIRIMYLYA,Banjaran,Kab. Majalengka,JAWA BARAT IX,Jawa Barat,4,10,5,1,9,16,3,JOKOWI DODO DAN MARUF AMIN,PAN,1
554,Kuesioner 554,garasiang,girimulya,Banjaran,Kab. Majalengka,JAWA BARAT IX,Jawa Barat,2,1,4,1,9,16,3,PRABOWO DAN SANDIAGA,PAN,2
555,Kuesioner 555,BANTRANGSANA,GIRIMULYA,Banjaran,Kab. Majalengka,JAWA BARAT IX,Jawa Barat,6,15,5,1,9,16,3,2,2,2
556,Kuesioner 556,garasiang,girimulya,Banjaran,Kab. Majalengka,JAWA BARAT IX,Jawa Barat,2,12,2,1,9,16,6,2,2,3
557,Kuesioner 557,GARASIANG,GIRIMULYA,Banjaran,Kab. Majalengka,JAWA BARAT IX,Jawa Barat,4,15,5,1,9,16,4,2,2,2
558,Kuesioner 558,garasiang,girimulya,Banjaran,Kab. Majalengka,JAWA BARAT IX,Jawa Barat,2,12,4,1,9,16,5,2,PDI,2
559,Kuesioner 559,BANTRANGSANA,GIRIMULYA,Banjaran,Kab. Majalengka,JAWA BARAT IX,Jawa Barat,2,3,3,1,9,16,3,2,2,2
560,Kuesioner 560,BLOK BANTRANGSANA,GIRIMULYA,Banjaran,Kab. Majalengka,JAWA BARAT IX,Jawa Barat,2,6,4,1,9,16,4,2,GOLKAR,2
561,Kuesioner 561,kosedon utara,tanjungsari barat,Cikaum,Kab. Subang,JAWA BARAT IX,Jawa Barat,1,1,1,1,13,16,5,Jokowi Dodo dan Ma'ruf Amin,PDIP,1
562,Kuesioner 562,kp.sarijaya,tanjungsari barat,Cikaum,Kab. Subang,JAWA BARAT IX,Jawa Barat,2,3,8,1,13,16,3,Jokowi Dodo dan Ma'ruf Amin,PDIP,1
563,Kuesioner 563,kosedan utara,tanjungsari barat,Cikaum,Kab. Subang,JAWA BARAT IX,Jawa Barat,2,8,3,1,13,16,3,Jokowi Dodo & Ma'aruf Amin,PDIP,1
564,Kuesioner 564,kamurang,tanjungsari barat,Cikaum,Kab. Subang,JAWA BARAT IX,Jawa Barat,2,12,2,1,13,16,2,Jokowi Dodo dan Ma'ruf Amin,PDIP,1
565,Kuesioner 565,kamurang,tanjungsari barat,Cikaum,Kab. Subang,JAWA BARAT IX,Jawa Barat,2,12,2,1,13,16,4,Prabowo Subianto dan Sandiaga Uno,Gerindra,2
566,Kuesioner 566,kamurang,cikaum,Cikaum,Kab. Subang,JAWA BARAT IX,Jawa Barat,2,3,8,1,13,16,4,Prabowo Subianto dan Sandiaga Uno,Gerindra,2
567,Kuesioner 567,Tanjung Mulya,Tanjungsari Barat,Cikaum,Kab. Subang,JAWA BARAT IX,Jawa Barat,2,12,3,1,13,16,5,Jokowi Dodo dan Ma'ruf Amin,PDIP,1
568,Kuesioner 568,Tanjung Mulya,Tanjungsari Barat,Cikaum,Kab. Subang,JAWA BARAT IX,Jawa Barat,2,3,8,1,13,16,4,Prabowo Subianto dan Sandiaga Uno,Gerindra,2
569,Kuesioner 569,kamurang,tanjungsari barat,Cikaum,Kab. Subang,JAWA BARAT IX,Jawa Barat,2,15,3,1,13,16,4,Jokowi Dodo dan Ma'ruf Amin,PDIP,1
570,Kuesioner 570,tanjungsari barat,cikaum,Cikaum,Kab. Subang,JAWA BARAT IX,Jawa Barat,2,3,8,1,13,16,4,JOKOWI DODO DAN MA'ARUF AMIN,PDIP,1
571,Kuesioner 571,GUDANG,GUDANG,Tanjungsari,Kab. Sumedang,JAWA BARAT IX,Jawa Barat,4,15,3,1,13,16,5,PRABOWO dan SANDIAGA UNO,DEMOKRAT,2
572,Kuesioner 572,GUDANG,GUDANG,Tanjungsari,Kab. Sumedang,JAWA BARAT IX,Jawa Barat,4,11,5,1,13,16,5,PRABOWO SUBIANTO dan SANDIAGA SALAHUDDIN UNO,PKS,2
573,Kuesioner 573,GUDANG,GUDANG,Tanjungsari,Kab. Sumedang,JAWA BARAT IX,Jawa Barat,3,3,5,1,13,16,4,JOKOWI dan MA'RUF AMIN,GOLKAR,1
574,Kuesioner 574,GUDANG,GUDANG,Tanjungsari,Kab. Sumedang,JAWA BARAT IX,Jawa Barat,4,3,1,1,13,16,2,PRABOWO dan SANDIAGA UNO,PPP,2
575,Kuesioner 575,GUDANG,GUDANG,Tanjungsari,Kab. Sumedang,JAWA BARAT IX,Jawa Barat,6,17,8,1,13,16,2,PRABOWO dan SANDIAGA UNO,GERINDRA,2
576,Kuesioner 576, SUKASARI,GUDANG,Tanjungsari,Kab. Sumedang,JAWA BARAT IX,Jawa Barat,4,3,6,1,13,13,4,PRABOWO dan SANDIAGA UNO,PKS,2
577,Kuesioner 577,GUDANG,GUDANG,Tanjungsari,Kab. Sumedang,JAWA BARAT IX,Jawa Barat,4,17,8,1,13,16,5,PRABOWO SUBIANTO dan SANDIAGA SALAHUDDIN UNO,PDIP,2
578,Kuesioner 578,GUDANG,GUDANG,Tanjungsari,Kab. Sumedang,JAWA BARAT IX,Jawa Barat,2,3,8,1,13,16,5,2,2,3
579,Kuesioner 579,GUDANG,GUDANG,Tanjungsari,Kab. Sumedang,JAWA BARAT IX,Jawa Barat,4,8,4,1,13,16,2,2,2,1
580,Kuesioner 580,GUDANG,GUDANG,Tanjungsari,Kab. Sumedang,JAWA BARAT IX,Jawa Barat,5,11,5,1,13,16,6,PRABOWO dan SANDIAGA UNO,2,2
581,Kuesioner 581,dusun cigalugur girang,sukamulya,Cihaurbeuti,Kab. Ciamis,JAWA BARAT X,Jawa Barat,2,12,1,1,13,16,1,PRABOWO dan SANDIAGA UNO,2,2
582,Kuesioner 582,cigalugur girang,sukamulya,Cihaurbeuti,Kab. Ciamis,JAWA BARAT X,Jawa Barat,2,3,8,1,13,16,4,PRABOWO dan SANDIAGA UNO,GERINDRA,2
583,Kuesioner 583,cigalugur girang,sukamulya,Cihaurbeuti,Kab. Ciamis,JAWA BARAT X,Jawa Barat,4,12,8,1,13,16,4,PRABOWO dan SANDI,PKS,2
584,Kuesioner 584,cigalugur girang,sukamulya,Cihaurbeuti,Kab. Ciamis,JAWA BARAT X,Jawa Barat,6,11,5,1,13,16,6,PRABOWO dan SANDIAGA,2,2
585,Kuesioner 585,dusun cikaret,sukamulya,Cihaurbeuti,Kab. Ciamis,JAWA BARAT X,Jawa Barat,4,8,4,1,13,16,3,PRABOWO dan SANDIAGA,GERINDRA,2
586,Kuesioner 586,dusun cikaret,sukamulya,Cihaurbeuti,Kab. Ciamis,JAWA BARAT X,Jawa Barat,2,3,8,1,13,16,3,PRABOWO dan SANDIAGA UNO,2,2
587,Kuesioner 587,dusun bojo,sukamulya,Cihaurbeuti,Kab. Ciamis,JAWA BARAT X,Jawa Barat,4,7,5,1,13,16,4,2,2,1
588,Kuesioner 588,dusun bojong,sukamulya,Cihaurbeuti,Kab. Ciamis,JAWA BARAT X,Jawa Barat,4,8,4,1,13,16,2,2,2,2
589,Kuesioner 589,dusun bojong,sukamulya,Cihaurbeuti,Kab. Ciamis,JAWA BARAT X,Jawa Barat,4,8,4,1,13,16,3,PRABOWO SUBIANTO dan SANDIAGA SALAHUDDIN UNO,GERINDRA,2
590,Kuesioner 590,dusun bojong,sukamulya,Cihaurbeuti,Kab. Ciamis,JAWA BARAT X,Jawa Barat,6,11,5,1,13,16,5,PRABOWO dan SANDIAGA ,2,2
591,Kuesioner 591,sukamantri 1,sukamantri,Sukamantri,Kab. Ciamis,JAWA BARAT X,Jawa Barat,2,pangkas rambut,3,1,13,16,4,JOKOWIDODO DAN MARUF AMIN,Nasdem,1
592,Kuesioner 592,sukamantri 1,sukamantri,Sukamantri,Kab. Ciamis,JAWA BARAT X,Jawa Barat,4,4,8,1,13,16,1,jokowidodo-maruf amin,2,1
593,Kuesioner 593,sukamantri III,sukamantei,Sukamantri,Kab. Ciamis,JAWA BARAT X,Jawa Barat,6,7,5,1,14,16,5,PRABOWO DAN SANDIAGA UNO,2,2
594,Kuesioner 594,sukamantri III,sukamantri,Sukamantri,Kab. Ciamis,JAWA BARAT X,Jawa Barat,3,3,2,1,13,16,4,PRABOWO DAN SANDIAGA UNO,PDI,2
595,Kuesioner 595,sukamantri II,sukamantri,Sukamantri,Kab. Ciamis,JAWA BARAT X,Jawa Barat,2,12,1,1,13,16,6,JOKOWI DODO DAN MARUF AMIN,GERINDRA,1
596,Kuesioner 596,sukamantri II,sukamantei,Sukamantri,Kab. Ciamis,JAWA BARAT X,Jawa Barat,2,1,3,1,14,16,3,PRABOWO DAN SANDIAGA UNO,PDIP,2
597,Kuesioner 597,Sukamantri II,Sukamantri,Sukamantri,Kab. Ciamis,JAWA BARAT X,Jawa Barat,3,15,3,1,13,16,5,JOKOWIDODO DAN MARUF AMIN,GERINDRA,1
598,Kuesioner 598,sukamantri 2,sukamantri,Sukamantri,Kab. Ciamis,JAWA BARAT X,Jawa Barat,3,8,3,1,13,16,1,prabowo dan sandi,2,2
599,Kuesioner 599,cigede,sukamantri,Sukamantri,Kab. Ciamis,JAWA BARAT X,Jawa Barat,2,1,3,1,13,16,3,prabowo dan sandi,GERINDRA,2
600,Kuesioner 600,Cigede,Sukamantri,Sukamantri,Kab. Ciamis,JAWA BARAT X,Jawa Barat,2,3,2,1,13,16,4,JOKOWIDODO DAN MARUF AMIN,PDIP,1
601,Kuesioner 601,Pahing,Karangsari,Darma,Kab. Kuningan,JAWA BARAT X,Jawa Barat,1,12,5,1,14,16,6,2,2,2
602,Kuesioner 602,pahing,karangsari,Darma,Kab. Kuningan,JAWA BARAT X,Jawa Barat,4,4,1,1,2,16,1,2,2,2
603,Kuesioner 603,Dsn. Manis,Karangsari,Darma,Kab. Kuningan,JAWA BARAT X,Jawa Barat,2,12,4,1,Hanya Islam,16,5,2,2,2
604,Kuesioner 604,dusun manis,karangsari,Darma,Kab. Kuningan,JAWA BARAT X,Jawa Barat,2,6,4,1,14,19,4,PRABOWO DAN SANDI,2,2
605,Kuesioner 605,Dsn. Manis,Karangsari,Darma,Kab. Kuningan,JAWA BARAT X,Jawa Barat,4,4,3,1,Habaib,16,1,PRABOWO SUBIANTO DAN SANDIAGA UNO,DENI YUSUP,2
606,Kuesioner 606,Dsn. Pahing,Karangsari,Darma,Kab. Kuningan,JAWA BARAT X,Jawa Barat,4,3,3,1,14,16,3,PRABOWO DAN SANDI,2,2
607,Kuesioner 607,Dsn. Manis,Karangsari,Darma,Kab. Kuningan,JAWA BARAT X,Jawa Barat,1,12,4,1,13,16,5,2,GOLKAR,2
608,Kuesioner 608,Dsn. Manis,Karangsari,Darma,Kab. Kuningan,JAWA BARAT X,Jawa Barat,2,3,5,1,13,16,4,JOKOWI DAN KIAI MARUF,PDI,1
609,Kuesioner 609,Dsn. Segog,Karangsari,Darma,Kab. Kuningan,JAWA BARAT X,Jawa Barat,2,12,4,1,13,16,5,JOKOWI MARUF,PDI ,1
610,Kuesioner 610,Dsn. Manis,Karangsari,Darma,Kab. Kuningan,JAWA BARAT X,Jawa Barat,4,4,2,1,13,16,1,2,2,2
611,Kuesioner 611,cibayobgbong,gunamekar,Bungbulang,Kab. Garut,JAWA BARAT XI,Jawa Barat,3,12,2,1,9,16,4,jokowi dan maruf amin,golkar,1
